word,status,calification,definition,word_length,language
BARIO,true,"""nombre masculino""","""Elemento químico metálico de de color blanco amarillento blando pesado abundante en la corteza terrestre que se encuentra en minerales como la barita y la baritina y se usa en el blindaje de muros contra radiaciones y como medio de contraste en radiología""",5,esp
BATÓN,true,"""nombre masculino""","""Bata ancha y larga hasta los pies""",5,esp
BATÚA,true,"""nombre masculino""","""euskera batúa.""",5,esp
BAYÓN,true,"""nombre masculino""","""Saco de estera hecha con las hojas del burí usado en para empaquetar o embalar ciertos artículos de comercio""",5,esp
BAYÚA,true,"""nombre femenino""","""ayúa""",5,esp
BAYA,true,"""nombre femenino""","""Tipo de fruto carnoso con semillas rodeadas de pulpa el tomate y la uva""",4,esp
BEBER,true,"""verbo intransitivo""","""Ingerir un líquido tomar ingerir abrevar sorber refrescarse potar2""",5,esp
BEJÍN,true,"""nombre masculino""","""Hongo de color blanco cuyo cuerpo fructífero cerrado y semejante a una bola a veces muy voluminosa se desgarra cuando llega a la madurez y deja salir un polvo negro que está formado por las esporas Se empleaba para restañar la sangre y para otros usos""",5,esp
BALDA,true,"""nombre femenino""","""tabla dispuesta horizontalmente anaquel estante entrepaño ménsula plúteo repisa tabla""",5,esp
BALDAR,true,"""verbo transitivo""","""Dicho de una enfermedad o de un accidente Impedir o dificultar la movilidad de una persona de un animal o la de alguno de los miembros de su cuerpo imposibilitar atrofiar anquilosar paralizar tullir machacar cansar agotar moler rendir""",6,esp
BELÉN,true,"""nombre masculino""","""representación del de nacimiento pesebre portal""",5,esp
BEORÍ,true,"""nombre masculino""","""Tapir americano""",5,esp
DERBI,true,"""nombre masculino""","""Competición hípica especialmente aquella que se celebra anualmente y en la que corren ejemplares de pura sangre de tres años de edad""",5,esp
BERÓN,true,"""adjetivo""","""Dicho de una persona Del pueblo céltico que en la época de la conquista romana habitaba territorios de la actual comunidad de""",5,esp
BETÚN,true,"""nombre masculino""","""Nombre genérico de varias sustancias compuestas principalmente de carbono e hidrógeno que se encuentran en la naturaleza y arden con llama humo espeso y olor peculiar""",5,esp
BEZÓN,true,"""nombre masculino desusado""","""máquina militar""",5,esp
BIDÉ,true,"""nombre masculino""","""Aparato sanitario con forma de recipiente ovalado y bajo que recibe el agua de un grifo y sobre el que se sienta una persona para su higiene íntima""",4,esp
BIDÓN,true,"""nombre masculino""","""Recipiente con cierre hermético que se destina al transporte de líquidos o de sustancias que requieren aislamiento barril garrafa bombona cuba tonel caneca""",5,esp
BAILAR,true,"""verbo intransitivo""","""Ejecutar movimientos acompasados con el cuerpo brazos y pies Bailar una polca danzar valsar trenzar bailotear pachuquear""",6,esp
BILMA,true,"""nombre femenino poco usado""","""bizma.""",5,esp
BILAO,true,"""nombre masculino""","""Bandeja o batea hecha con tiras de caña""",5,esp
BINAR,true,"""verbo transitivo""","""Arar por segunda vez antes de sembrar una tierra de labor para eliminar la mala hierba rendar mantornar""",5,esp
BIRLÍ,true,"""nombre masculino""","""Parte inferior que queda en blanco en las páginas de un impreso""",5,esp
BIS,true,"""nombre masculino""","""En un concierto o en un espectáculo teatral pieza o fragmento a veces repetición de algo interpretado antes que se ofrece fuera de programa para responder a los aplausos o a la petición del público propina repetición""",3,esp
BÍTER,true,"""nombre masculino""","""Bebida generalmente amarga que se obtiene macerando diversas sustancias en ginebra y que se toma como aperitivo""",5,esp
BOCÍN,true,"""nombre masculino""","""Pieza redonda de esparto o de hierro que se pone por defensa alrededor de los cubos de las ruedas de carros y galeras""",5,esp
BOCÓN,true,"""adjetivo coloquial""","""bocudo hocicudo morrudo jetudo""",5,esp
BODÓN,true,"""nombre masculino""","""Charca o laguna invernal que se seca en verano""",5,esp
BOHÍO,true,"""nombre masculino""","""Cabaña de hecha de madera y ramas cañas o pajas y sin más respiradero que la puerta cabaña choza barraca chabola tugurio buhío pahuichi""",5,esp
BOLÍN,true,"""nombre masculino""","""Bola del juego de las bochas""",5,esp
BOLÓN,true,"""nombre masculino""","""Piedra de regular tamaño que se emplea en los cimientos de las construcciones""",5,esp
BOMBÉ,true,"""nombre masculino""","""Carruaje antiguo muy ligero de dos ruedas y dos asientos y abierto por delante""",5,esp
BÓRAX,true,"""nombre masculino""","""Sustancia blanca constituida por sal de ácido bórico y sodio usada en farmacia y en la industria que se puede encontrar en estado natural atíncar borra2 borraj""",5,esp
BÓREO,null,null,null,null,null
BORNÍ,true,"""nombre masculino""","""Ave rapaz diurna que tiene el cuerpo de color ceniciento y la cabeza el pecho las remeras y los pies de color amarillo oscuro que habita en lugares pantanosos y anida en la orilla del agua""",5,esp
BOSÓN,true,"""nombre masculino""","""Partícula elemental que como el fotón ejerce la interacción entre fermiones""",5,esp
BOTÍN,true,"""nombre masculino""","""Calzado de cuero paño o lienzo que cubre la parte superior del pie y parte de la pierna a la cual se ajusta con botones hebillas o correas bota2 boto1""",5,esp
BOTÓN,true,"""nombre masculino""","""En una prenda de vestir pieza generalmente redonda y plana que se introduce en un ojal para abrochar botonadura abotonadura cierre automático corchete brochón2""",5,esp
BÓXER,true,"""nombre masculino""","""Miembro de una sociedad secreta china de carácter religioso y político que en dirigió una sublevación contra la intromisión extranjera en""",5,esp
BOZÓN,true,"""nombre masculino desusado""","""máquina militar""",5,esp
BRÍO,true,"""nombre masculino""","""Hombre de bríos energía fuerza ánimo pujanza moral1 empuje garra acometividad potencia ímpetu resolución aliento arranque atrevimiento coraje valor decisión intrepidez denuedo desánimo desaliento desgana""",4,esp
BRIDAR,true,"""verbo transitivo""","""Atar una pieza o trozo de carne para que no se deforme al guisarla embridar""",6,esp
BIRUJI,true,"""nombre masculino coloquial""","""Frío o viento frío biruje rasca""",6,esp
BRUÑIR,true,"""verbo transitivo""","""Sacar lustre o brillo a un metal una piedra pulir lustrar abrillantar enlucir acicalar""",6,esp
BUBÓN,true,"""nombre masculino""","""Tumor purulento y voluminoso""",5,esp
BUDÍN,true,"""nombre masculino""","""pudin""",5,esp
BUFÓN,true,"""nombre masculino""","""hombre que vende buhonerías buhonero mercachifle cajero gorgotero varillero falte charanguero""",5,esp
BUHÍO,true,"""nombre masculino""","""bohío pahuichi""",5,esp
BUCO,true,"""nombre masculino""","""macho de la cabra cabrío cabrón cabro bode chivo2 bote4 boque""",4,esp
BUJÍA,true,"""nombre femenino""","""pieza de cera para alumbrar vela1 candela cirio blandón hacha1 veladora""",5,esp
BULÍN,true,"""nombre masculino""","""En alpinismo nudo para encordarse""",5,esp
BILIS,true,"""nombre femenino""","""Secreción amarillenta que produce el hígado de los vertebrados importante en el proceso de la digestión cólera1 hiel""",5,esp
BULLA,true,"""nombre femenino""","""Gritería o ruido que hacen una o más personas bullicio alboroto barullo jaleo confusión escándalo escandalera desorden revuelo follón2 gresca guirigay barahúnda cisco gritería vocería1 vocinglería rumor ruido estrépito juerga jarana parranda algazara algarabía1 tiberio trulla1 trápala bullanga zalagarda zapatiesta trapatiesta bochinche trapisonda mitote bullaranga guirisapa calma silencio""",5,esp
BULÓN,true,"""nombre masculino""","""Pieza cilíndrica que se utiliza como pasador o perno para unir dos elementos perno""",5,esp
BURÍO,true,"""nombre masculino""","""Nombre genérico de varias especies de árboles de cuya corteza se obtiene material para fabricar cuerdas""",5,esp
BUTIÁ,true,"""nombre femenino""","""Nombre genérico de dos especies de palmeras de unos ocho metros de altura con tronco liso y ceniciento y frutos comestibles de color naranja Crece solitaria en las quebradas o formando extensos palmares en los humedales""",5,esp
BUZÓN,true,"""nombre masculino""","""Abertura por la que se echan las cartas y papeles para el correo o para otro destino abertura ranura hendidura boca""",5,esp
CABÁS,true,"""nombre masculino""","""Sera pequeña esportilla o cestillo para llevar la compra""",5,esp
CABER,true,"""verbo intransitivo""","""Dicho de una persona o de una cosa Poder contenerse dentro de algo entrar contener alcanzar coger""",5,esp
CACÁN,true,"""adjetivo""","""Perteneciente o relativo al Léxico cacán cacana""",5,esp
CACHÚ,true,"""nombre masculino""","""cato1 cachunde catecú""",5,esp
CADI,true,"""nombre masculino""","""Especie de palmera del cuyas hojas gigantescas se usan para el techado de las casas en los pueblos y en el campo y cuyo fruto es la tagua""",4,esp
CADENA,true,"""nombre femenino""","""Serie de muchos eslabones enlazados entre sí normalmente metálicos que sirve principalmente para atar sujetar o adornar""",6,esp
CABERO,true,"""adjetivo desusado""","""que está al final""",6,esp
CAER,true,"""verbo intransitivo""","""Dicho de un cuerpo Moverse de arriba abajo por la acción de su propio peso bajar descender abatirse desplomarse derrumbarse desmoronarse derribarse desprenderse despeñarse precipitarse rodar resbalarse hundirse tropezar venir azotar ascender""",4,esp
CABE,true,"""nombre masculino""","""acción de cruzar la pierna por entre las de otro zancadilla traspié""",4,esp
CAGÓN,true,"""adjetivo""","""Que exonera el vientre muchas veces estreñido""",5,esp
CAHÍZ,true,"""nombre masculino""","""Medida de capacidad para cereales diferente según las regiones""",5,esp
CACA,true,"""nombre femenino""","""Excremento humano y especialmente el de los niños pequeños excremento heces deposición2 boñiga popó mierda""",4,esp
CAJÍN,null,null,null,null,null
CAJÓN,true,"""nombre masculino""","""recipiente caja""",5,esp
CÁLAO,true,"""nombre masculino""","""Ave grande trepadora que tiene sobre el pico que es grueso un voluminoso apéndice córneo de forma variada y de la cual se conocen diversas especies que viven en y en otras islas del océano""",5,esp
CALCA,true,"""nombre femenino""","""Acción y efecto de pisar""",5,esp
CABIO,true,"""nombre masculino""","""Vara o listón que se atraviesa a las vigas para formar suelos y techos""",5,esp
CÁLIZ,true,"""nombre masculino""","""Vaso sagrado de oro o plata que sirve en la misa para echar el vino que se ha de consagrar""",5,esp
CALÓN,true,"""nombre masculino""","""Palo redondo de cerca de un metro de largo que sirve para mantener extendidas las redes colgándolas de él por uno de sus costados""",5,esp
CAMBA,true,"""nombre femenino""","""barra del freno cama2""",5,esp
CAMÓN,true,"""nombre masculino""","""Trono real portátil que se colocaba junto al presbiterio cuando asistían los reyes en público a la real capilla""",5,esp
BANDA,true,"""nombre femenino""","""Cinta ancha de colores determinados que se lleva atravesada desde un hombro al costado opuesto como distintivo de rangos honores o dignidades""",5,esp
BANDO,true,"""nombre masculino""","""Proclama o edicto que se hace público originariamente de modo oral por orden superior especialmente militar o de un alcalde edicto proclama comunicado orden pregón mandato""",5,esp
CACEA,true,"""nombre femenino""","""caceo""",5,esp
CAN,true,"""nombre masculino""","""mamífero perro pulguiento tuso1 chucho1""",3,esp
CACEAR,true,"""verbo transitivo""","""Revolver algo con el cazo""",6,esp
CANTÚ,true,"""nombre masculino""","""Planta de jardín del de la familia de las polemoniáceas cuyas hojas y madera tiñen de color amarillo""",5,esp
BAÑAR,true,"""verbo transitivo""","""Meter a alguien en el agua o en otro líquido generalmente para lavar para refrescar o con fines medicinales Prefiere bañarse por la noche lavar duchar remojar""",5,esp
CAÑÍ,true,"""adjetivo""","""de un pueblo originario de la gitano calé romaní cíngaro""",4,esp
CANON,true,"""nombre masculino""","""Regla o precepto regla precepto norma pauta""",5,esp
CAPÍN,true,"""nombre masculino""","""Planta forrajera de la familia de las gramíneas""",5,esp
CAPÓN,true,"""adjetivo""","""Dicho de un hombre o de un animal castrado""",5,esp
CARÁU,true,"""nombre masculino""","""Ave zancuda muy frecuente en la el y de unos de longitud pico largo corvo y alas grandes de plumaje general pardo con blanco en el cuello y parte superior del dorso""",5,esp
CARI,true,"""adjetivo""","""De color pardo o plomizo Manta cari""",4,esp
CAR,true,"""nombre masculino""","""Extremo inferior y más grueso de la entena""",3,esp
CARÓN,true,"""adjetivo coloquial""","""Dicho de una persona Que tiene la cara grande""",5,esp
CARPA,true,"""nombre femenino""","""Pez teleósteo fisóstomo de agua dulce generalmente verdoso por encima y amarillo por debajo escamas grandes y una sola aleta dorsal de boca pequeña sin dientes y con dos pequeñas barbas a los lados de la boca y algunas de cuyas especies se crían como ornamentales fisóstomo""",5,esp
CÁSEO,true,"""adjetivo""","""perteneciente al queso caseico caseoso""",5,esp
CASÓN,true,"""nombre masculino""","""de""",5,esp
CATÍN,true,"""nombre masculino""","""Crisol en que se refina el cobre para obtener las rosetas""",5,esp
CATÓN,true,"""nombre masculino""","""Censor severo censor""",5,esp
CAURO,true,"""nombre masculino""","""viento noroeste coro2""",5,esp
CÁVEA,true,"""nombre femenino""","""En la antigua jaula para aves y otros animales""",5,esp
CAVÍO,true,"""nombre masculino""","""cava1 excavación""",5,esp
CAVÓN,true,"""nombre masculino""","""Terrón grande en las tierras de labor""",5,esp
CAYÁN,true,"""nombre masculino""","""Toldo abovedado hecho con tiras de caña de bambú""",5,esp
CAZÓN,true,"""nombre masculino""","""Pez selacio del suborden de los escuálidos comestible de unos dos metros de largo de cuerpo esbelto y semejante al del marrajo aunque su aleta caudal no es semilunar y la cola carece de quillas longitudinales en su raíz y que tiene los dientes agudos y cortantes gáleo""",5,esp
CEBÓN,true,"""adjetivo""","""Dicho de un animal Que está cebado cebado gordo atocinado obeso""",5,esp
CEBTÍ,true,"""adjetivo desusado""","""ceutí.""",5,esp
CEBA,true,"""nombre femenino""","""Alimentación abundante y esmerada que se da al ganado para que engorde especialmente al que sirve para el sustento humano engorde engorda""",4,esp
CEDER,true,"""verbo transitivo""","""Dar transferir o traspasar a alguien una cosa acción o derecho traspasar transferir conceder dar entregar endosar1 adjudicar tomar recibir""",5,esp
CEFEA,true,"""nombre femenino""","""Comida que buscan los cerdos hozando en la tierra""",5,esp
CECEAR,true,"""verbo intransitivo""","""Pronunciar con un sonido ciceante el fonema representado por las letras s z o c seguida de e o i zacear""",6,esp
CAGAR,true,"""verbo intransitivo""","""Evacuar el vientre defecar evacuar deponer excretar""",5,esp
CAGUE,true,"""nombre masculino""","""Miedo o inquietud que paralizan""",5,esp
CENCHA,true,"""nombre femenino""","""Traviesa en que se fijan los pies de las butacas camas""",6,esp
CENA,true,"""nombre femenino""","""Última comida del día que se toma al atardecer o por la noche comida refrigerio colación""",4,esp
CENAR,true,"""nombre masculino desusado""","""cena1.""",5,esp
CENIA,true,"""nombre femenino""","""Azud o máquina simple para elevar el agua y regar terrenos muy usada al norte de la provincia de""",5,esp
CEÑA,true,"""nombre femenino""","""máquina para subir agua noria aguaducho cenia arte""",4,esp
CEPTÍ,true,"""adjetivo desusado""","""ceutí.""",5,esp
CEQUÍ,true,"""nombre masculino""","""Moneda de oro acuñada en varios Estados de especialmente en y que admitida en el comercio de recibió de los árabes este nombre""",5,esp
CÉREO,true,"""adjetivo""","""De cera encerado encáustico""",5,esp
CERNA,true,"""nombre femenino""","""cerne cerno carne1""",5,esp
CERÓN,true,"""nombre masculino""","""Residuo escoria o heces de los panales de la cera""",5,esp
CERNE,true,"""adjetivo""","""Dicho especialmente de la madera Sólida y fuerte""",5,esp
CETÍS,true,"""nombre masculino""","""Moneda portuguesa que tuvo curso en y valía la sexta parte de un maravedí de plata""",5,esp
CEUTÍ,true,"""adjetivo""","""Natural de ciudad autónoma española situada en el norte de""",5,esp
CHACAL,true,"""nombre masculino""","""Mamífero carnívoro de la familia de los cánidos carroñero y de costumbres gregarias de un tamaño medio entre el lobo y la zorra parecido al primero en la forma y el color y a la segunda en la disposición de la cola y que vive en las regiones templadas de y""",6,esp
CHAJÁ,true,"""nombre masculino""","""Ave zancuda de más de medio metro de longitud de color gris claro cuello largo plumas altas en la cabeza y dos púas en la parte anterior de sus grandes alas que anda erguida y con lentitud y lanza un fuerte grito""",5,esp
CHANÁ,true,"""adjetivo""","""Dicho de una persona De un pueblo indígena americano que en la época de la conquista española habitaba en las cuencas del hasta el río y del inferior y en las islas de y""",5,esp
CHAÚL,true,"""nombre masculino""","""Tela de seda de comúnmente azul semejante al gro en el tejido""",5,esp
CHIAR,true,"""verbo intransitivo poco usado""","""piar.""",5,esp
CHAI,true,"""nombre femenino""","""Niña o joven joven muchacha niña""",4,esp
CHIMÚ,true,"""adjetivo""","""Dicho de una persona De un pueblo amerindio que habitaba en el norte del""",5,esp
CHITE,true,"""nombre masculino""","""Arbusto de cuya madera se obtiene carboncillo para dibujar""",5,esp
CHÍA,true,"""nombre femenino""","""Manto negro y corto regularmente de bayeta que se ponía sobre el capuz y cubría hasta la mano usado en los lutos antiguos""",4,esp
CHULÉ,true,"""nombre masculino""","""Moneda de cinco pesetas""",5,esp
CHURÚ,true,"""nombre masculino""","""Cascarilla que cubre el grano de arroz y debe desecharse antes de la cocción""",5,esp
CIANÍ,true,"""nombre masculino""","""Moneda de oro de baja ley usada entre los moros de que valía aspros""",5,esp
CICLAR,true,"""verbo transitivo""","""Bruñir y abrillantar las piedras preciosas bruñir abrillantar""",6,esp
BINA,true,"""nombre femenino""","""Acción y efecto de arar por segunda vez una tierra renda1 cruza""",4,esp
CHISME,true,"""nombre masculino coloquial""","""Noticia verdadera o falsa o comentario con que generalmente se pretende indisponer a unas personas con otras o se murmura de alguna murmuración habladuría cotilleo chismorreo chismería chismorrería cuento1 chisma reporte hablada habladera soplo chambre sacada vinazo""",6,esp
CIEMO,true,"""nombre masculino""","""Fimo estiércol""",5,esp
ALOCAR,true,"""verbo transitivo""","""Causar locura enloquecer""",6,esp
COATÍ,true,"""nombre masculino""","""Mamífero carnívoro plantígrado americano de cabeza alargada y hocico estrecho pelaje grisáceo y tupido larga cola con rayas transversales y uñas fuertes y curvadas que le sirven para trepar a los árboles cuatí cusumbe cusumbo""",5,esp
CHOCAR,true,"""verbo intransitivo""","""Dicho de dos cosas Encontrarse violentamente una con otra como una bala contra la muralla un buque con otro topar1 colisionar impactar estrellar1 tropezar estamparse encontrarse topetar""",6,esp
COCEAR,true,"""verbo intransitivo""","""Dar o tirar coces patear""",6,esp
BOCIO,true,"""nombre masculino""","""Aumento difuso o nodular de la glándula tiroidea papera coto5 güecho güegüecho papo1""",5,esp
CODÍN,true,"""nombre masculino""","""Manga estrecha del jubón""",5,esp
CODÓN,true,"""nombre masculino""","""Bolsa de cuero que atada a la grupa sirve para cubrir la cola del caballo cuando hay barro""",5,esp
COFÁN,true,"""adjetivo""","""Dicho de una persona De un pueblo amerindio que habita en la región oriental ecuatoriana""",5,esp
COFÍN,true,"""nombre masculino""","""Cesto o canasto de esparto mimbres o madera para llevar frutas u otras cosas cesto1 cesta canasto canasta""",5,esp
COFIA,true,"""nombre femenino""","""Prenda femenina de cabeza generalmente blanca y de pequeño tamaño que llevan enfermeras camareras criadas como complemento de su uniforme tocado1 papalina garvín escofión""",5,esp
COGER,true,"""verbo transitivo""","""Asir agarrar o tomar algo o a alguien asir agarrar sujetar tomar prender aferrar atenazar trabar mantener sostener empuñar pillar soltar dejar liberar""",5,esp
COGÓN,true,"""nombre masculino""","""Planta de la familia de las gramíneas propia de los países cálidos que tiene las flores en panoja cilíndrica y cuyas cañas sirven en para techar las casas en el campo""",5,esp
KOINÉ,true,"""nombre femenino""","""Lengua griega común derivada del ático que fue de uso general en el mundo helénico tras las conquistas de""",5,esp
COJÍN,true,"""nombre masculino""","""Almohadón que sirve para sentarse arrodillarse o apoyar sobre él cómodamente alguna parte del cuerpo almohadón almohadilla almohada cabezal colchoneta""",5,esp
COJÓN,true,"""nombre masculino""","""testículo teste dídimo turma""",5,esp
CHOLGA,true,"""nombre femenino""","""Molusco bivalvo marino comestible de la misma familia que el mejillón pero de mayor tamaño que abunda en la zona del canal de y del estrecho de cholgua""",6,esp
COLEAR,true,"""verbo intransitivo""","""Mover con frecuencia la cola""",6,esp
COLÍN,true,"""adjetivo""","""Dicho de un animal Que tiene la cola cortada colino2""",5,esp
CIMIA,true,"""nombre femenino desusado""","""marrubio.""",5,esp
CÓMIC,true,"""nombre masculino""","""Serie o secuencia de viñetas que cuenta una historia historieta tira tebeo2 comiquita monitos muñequito""",5,esp
COMÍS,true,"""nombre masculino""","""Ayudante de camarero en el servicio de bares y restaurantes""",5,esp
COMÚN,true,"""adjetivo""","""Dicho de una cosa Que no siendo privativamente de nadie pertenece o se extiende a varios Bienes pastos comunes comunal comunitario colectivo general universal público particular privativo personal""",5,esp
CANTAR,true,"""verbo intransitivo""","""Dicho de una persona Producir con la voz sonidos melodiosos formando palabras o sin formarlas Cantar con buena voz entonar canturrear salmodiar""",6,esp
COÑO,true,"""nombre masculino""","""Vulva y vagina del aparato genital femenino vulva vagina""",4,esp
CHONO,true,"""adjetivo""","""Dicho de una persona De un pueblo amerindio extinguido de la zona austral de""",5,esp
COPÍN,true,"""nombre masculino""","""medida de capacidad copino""",5,esp
COPÓN,true,"""nombre masculino""","""En el culto católico vaso sagrado en forma de copa grande que contiene las hostias consagradas copa""",5,esp
COQUÍ,true,"""nombre masculino""","""Anfibio minúsculo que produce sonidos nocturnos intermitentes en una amplia gama de timbres""",5,esp
CHORAR,true,"""verbo transitivo""","""Hurtar o robar algo""",6,esp
CORÍO,true,"""nombre masculino""","""ave pato1 ánade parro curro2 corco""",5,esp
CORRA,true,"""nombre femenino""","""Aro o anillo de metal""",5,esp
COR,true,"""nombre masculino desusado""","""corazón.""",3,esp
CORÚA,true,"""nombre femenino""","""Ave palmípeda especie de cormorán que se alimenta de peces y mariscos con el pico recto y comprimido en la punta color negro verdoso con algunas rayas blancas sobre el cuello contorno de los ojos amarillo y estos verdes y patas negras""",5,esp
CASIA,true,"""nombre femenino""","""Arbusto de la de la familia de las papilionáceas de unos cuatro metros de altura con ramas espinosas hojas compuestas y puntiagudas flores amarillas y olorosas y semillas negras y duras""",5,esp
CESIO,true,"""nombre masculino""","""Elemento químico metálico alcalino de de color plateado dúctil y blando escaso en la corteza terrestre que reacciona violentamente con el agua se encuentra en las cenizas de algunas plantas y en aguas minerales y se usa en la fabricación de células fotoeléctricas""",5,esp
COTÍN,true,"""nombre masculino""","""Golpe de revés alto que el jugador que resta da a la pelota al volverla a quien saca""",5,esp
CHOTIS,true,"""nombre masculino""","""Baile agarrado y lento que suele ejecutarse dando tres pasos a la izquierda tres a la derecha y vueltas y que es típico de""",6,esp
COTÓN,true,"""nombre masculino""","""Tela de algodón estampada de varios colores""",5,esp
COTÚA,true,"""nombre femenino""","""somormujo somorgujo mergo mergánsar""",5,esp
AOVAR,true,"""verbo intransitivo""","""Dicho de las aves y de otros animales Poner huevos ovar poner parir""",5,esp
COYÁN,true,"""nombre masculino""","""Especie de haya""",5,esp
CRECER,true,"""verbo intransitivo""","""Dicho de un ser orgánico Ir en aumento se refiere principalmente a la estatura estirar espigarse criarse medrar decrecer menguar""",6,esp
CREER,true,"""verbo transitivo""","""Tener algo por cierto sin conocerlo de manera directa o sin que esté comprobado o demostrado El catecismo enseña lo que hay que creer Se lo cree todo dudar desconfiar descreer""",5,esp
CREA,true,"""nombre femenino""","""Lienzo entrefino que se usaba mucho para sábanas camisas forros""",4,esp
CREDO,true,"""nombre masculino""","""Oración en que se hace profesión de fe de las principales creencias del cristianismo""",5,esp
CREAR,true,"""verbo transitivo""","""Producir algo nuevo Crear un género literario Crear un personaje imaginar concebir inventar idear destruir eliminar""",5,esp
ARIO,true,"""adjetivo""","""Dicho de una persona Supuesto descendiente de la estirpe originaria de los indoeuropeos considerada por algunos más pura y superior que las de otros pueblos""",4,esp
CRUJIR,true,"""verbo intransitivo""","""Dicho de algunos cuerpos como las telas de seda las maderas los dientes Hacer cierto ruido cuando rozan unos con otros o se rompen rechinar restallar crepitar chascar chasquear""",6,esp
CRÚOR,true,"""nombre masculino""","""En la medicina antigua principio colorante de la sangre que hoy se llama hemoglobina y glóbulos sanguíneos que hoy tienen distintos nombres""",5,esp
CUATÍ,true,"""nombre masculino""","""coatí cusumbo cusumbe""",5,esp
CUBRIR,true,"""verbo transitivo""","""Ocultar y tapar algo con otra cosa descubrir destapar""",6,esp
CUCHÉ,null,null,null,null,null
CUCHÍ,true,"""interjección""","""para llamar al cerdo""",5,esp
CUCA,true,"""nombre femenino""","""tubérculo chufa cotufa""",4,esp
CUJÍN,true,"""nombre masculino""","""fruto guama jiquinicuil cuajinicuil cuje cujinicuil jaquinicuil jinicuil nacaspilo""",5,esp
CUJA,true,"""nombre femenino""","""Bolsa de cuero asida a la silla del caballo para meter el cuento de la lanza o bandera""",4,esp
CUJÓN,true,"""nombre masculino""","""cogujón codujón""",5,esp
AULA,true,"""nombre femenino""","""Sala donde se dan las clases en los centros docentes clase cátedra anfiteatro salón1""",4,esp
CULÉN,true,"""nombre masculino""","""albahaquilla de Chile.""",5,esp
CELIA,true,"""nombre femenino""","""Bebida de los antiguos habitantes de la península ibérica que se hacía de trigo echado en infusión al modo de la cerveza o de la""",5,esp
CULÍO,true,"""nombre masculino""","""angustia por un riesgo miedo cerote culillo culillera""",5,esp
CULÓN,true,"""adjetivo""","""Que tiene muy abultadas las posaderas""",5,esp
CÚMEL,true,"""nombre masculino""","""Aguardiente aromatizado con comino de sabor muy dulce""",5,esp
CANDI,null,null,null,null,null
CAPAR,true,"""verbo transitivo""","""Extirpar o inutilizar los órganos genitales a una persona o a un animal castrar emascular mutilar cortar cercenar""",5,esp
CUPLÉ,true,"""nombre masculino""","""Canción corta y ligera que se canta en teatros y otros locales de espectáculo tonadilla copla tonada""",5,esp
CUPÓN,true,"""nombre masculino""","""Parte de un anuncio invitación bono que se corta y que da derecho a participar en concursos o sorteos o a obtener una rebaja en las compras bono vale2 recibo talón1 cédula volante comprobante""",5,esp
BURI,true,"""nombre masculino""","""Fiesta criolla""",4,esp
CURRI,true,"""nombre masculino""","""Condimento originario de la compuesto por una mezcla de polvo de diversas especias curry""",5,esp
CUSCÚ,true,"""adjetivo coloquial""","""Dicho del pelo De rizo muy apretado""",5,esp
CASIS,true,"""nombre masculino""","""Molusco gasterópodo con concha arrollada en espiral una sola branquia y pie provisto de un opérculo que cierra la abertura de la concha cuando el animal se introduce en esta""",5,esp
CÚTER,true,"""nombre masculino""","""Cuchilla que se guarda dentro de su propio mango y sirve para cortar papel cartón u otro material parecido cuchilla trincheta""",5,esp
DAHÍR,true,"""nombre masculino""","""En decreto de la autoridad superior""",5,esp
TAMIL,true,"""adjetivo""","""Dicho de una persona De uno de los pueblos no arios de la rama dravidiana que habita en el sudeste de la y parte de antiguo""",5,esp
DAQUÍ,true,"""adverbio desusado""","""De aquí""",5,esp
DAÑAR,true,"""verbo transitivo""","""Causar detrimento perjuicio menoscabo dolor o molestia perjudicar deteriorar estropear lastimar lesionar afectar damnificar destrozar destruir herir romper1 averiar malear embarrar1 chivar beneficiar favorecer""",5,esp
CARA,true,"""nombre femenino""","""Parte anterior de la cabeza humana desde el principio de la frente hasta la punta de la barbilla rostro faz haz3 semblante frente carátula trompa jeta1 frontispicio""",4,esp
DÁTIL,true,"""nombre masculino""","""Fruto de la palmera de forma elipsoidal prolongada de unos cuatro centímetros de largo por dos de grueso cubierto con una película amarilla carne blanquecina comestible y hueso casi cilíndrico muy duro y con un surco a lo largo""",5,esp
DAUDÁ,true,"""nombre femenino""","""planta contrahierba""",5,esp
BAZA,true,"""nombre femenino""","""Conjunto de cartas que en ciertos juegos de naipes recoge quien gana la mano mano1 jugada tanto""",4,esp
DEBDA,true,"""nombre femenino desusado""","""deuda.""",5,esp
DÉBIL,true,"""adjetivo""","""De poco vigor o de poca fuerza o resistencia delicado decaído flojo frágil enclenque endeble desmadejado exánime fuñingue blandengue fuerte resistente robusto enérgico intenso potente""",5,esp
DEBDO,true,"""nombre masculino desusado""","""deuda.""",5,esp
BEBO,true,"""nombre masculino y femenino""","""bebé niño criatura neonato lactante nene rorro bebe guagua2 tierno nené chichí chancleta""",4,esp
DECAER,true,"""verbo intransitivo""","""Dicho de una persona o de una cosa Ir a menos perder alguna parte de las condiciones o propiedades que constituían su fuerza bondad importancia o valor declinar desmedrar menguar flaquear decrecer debilitarse disminuir apulismarse fortalecerse reforzarse robustecerse""",6,esp
DACIO,true,"""nombre masculino desusado""","""Tributo o imposición sobre algo""",5,esp
