word,status,qualification,definition,length,language,,
CASAL,true,Sustantivo masculino,"""Solar o casa solariega.""",5,esp,,
CASAN,true,verbo intransitivo,"""1. Contraer matrimonio desposarse desposarse enlazarse enlazarse matrimoniar matrimoniar enmaridar enmaridar divorciarse divorciarse separarse separarse""",5,esp,,
CASAR,true,Verbo transitivo,"""Derecho: Anular.""",5,esp,,
CASAS,null,N/A,"""N/A""",5,esp,,
CASCA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de cascar.""",5,esp,,
CASCO,true,Sustantivo masculino,"""Complemento rígido de protección para la cabeza.""",5,esp,,
CASEA,null,N/A,"""N/A""",5,esp,,
CASEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de casar.""",5,esp,,
CASEO,null,N/A,"""N/A""",5,esp,,
CASES,null,N/A,"""N/A""",5,esp,,
CASIA,true,nombre femenino,"""1. Arbusto de la de la familia de las papilionáceas de unos cuatro metros de altura con ramas espinosas hojas compuestas y puntiagudas flores amarillas y olorosas y semillas negras y duras""",5,esp,,
CASIS,true,nombre masculino,"""1. Molusco gasterópodo con concha arrollada en espiral una sola branquia y pie provisto de un opérculo que cierra la abertura de la concha cuando el animal se introduce en esta""",5,esp,,
CASON,null,N/A,"""N/A""",5,esp,,
CASOS,true,nombre masculino,"""1. Suceso acontecimiento acontecimiento acontecimiento suceso suceso incidente incidente hecho hecho""",5,esp,,
CASPA,true,Sustantivo femenino,"""Medicina: Sustancia blanquecina que se forma en el cabello por acumulación de piel muerta.""",5,esp,,
CASTA,true,Sustantivo femenino,"""Grupo unido por una ascendencia común""",5,esp,,
CASTO,true,adjetivo,"""1. Dicho de una persona Que se abstiene de todo goce sexual o se atiene a lo que se considera como lícito puro puro virtuoso virtuoso decente decente púdico púdico recatado recatado decoroso decoroso pudoroso pudoroso pudibundo pudibundo limpio limpio honesto honesto honorable honorable continente continente virginal virginal impuro impuro lujurioso lujurioso""",5,esp,,
CATAD,true,verbo transitivo,"""1. Probar gustar algo para examinar su sabor o sazón probar probar gustar gustar degustar degustar saborear saborear paladear paladear""",5,esp,,
CATAN,true,verbo transitivo,"""1. Probar gustar algo para examinar su sabor o sazón probar probar gustar gustar degustar degustar saborear saborear paladear paladear""",5,esp,,
CATAR,true,Verbo transitivo,"""Probar algo con el sentido del gusto, especialmente los alimentos.""",5,esp,,
CATAS,null,N/A,"""N/A""",5,esp,,
CATEA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de catear.""",5,esp,,
CATEE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de catear.""",5,esp,,
CATEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de catar.""",5,esp,,
CATEO,true,Sustantivo masculino,"""Exploración y busca de una veta de mineral.""",5,esp,,
CATES,null,N/A,"""N/A""",5,esp,,
CATEY,true,nombre masculino,"""1. ave perico1 perico1 periquito1 periquito1 mariquita mariquita""",5,esp,,
CATIN,null,N/A,"""N/A""",5,esp,,
CATON,null,N/A,"""N/A""",5,esp,,
CATOS,true,nombre masculino,"""1. Antiguo pueblo germano que habitó tierras de los valles del el y el donde luego se originaron los ducados de y y el territorio de""",5,esp,,
CATRE,true,Sustantivo masculino,"""Cama plegable con armazón de tijera.""",5,esp,,
CAUBA,true,nombre femenino,"""1. Arbolito espinoso de la que sirve de adorno y cuya madera se usa en ebanistería""",5,esp,,
CAUCA,true,Sustantivo propio masculino,"""Río que atraviesa 1.350 kilómetros a lo largo del occidente Colombia, con una cuenca hidrográfica de aproximadamente 63.300 kilómetros cuadrados. Nace en la cordillera de Los Andes y desemboca en el río Magdalena. Se considera uno de los más importantes del país, por bañar tierras altamente productivas de nueve departamentos.""",5,esp,,
CAUCE,true,Sustantivo masculino,"""Concavidad o depresión del terreno por donde corre un curso de agua""",5,esp,,
CAUDA,true,nombre femenino,"""1. Falda o cola de la capa magna o consistorial""",5,esp,,
CAUJE,true,nombre masculino,"""1.""",5,esp,,
CAULA,true,nombre femenino,"""1. y Treta engaño ardid""",5,esp,,
CAUNO,null,N/A,"""N/A""",5,esp,,
CAURI,true,nombre masculino,"""1. Molusco gasterópodo que abunda en las costas de Oriente y cuya concha blanca y brillante servía de moneda en la y costas africanas""",5,esp,,
CAURO,true,nombre masculino,"""1. viento noroeste noroeste coro2 coro2""",5,esp,,
CAUSA,true,Sustantivo femenino,"""Origen de un evento o acción""",5,esp,,
CAUSE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de causar.""",5,esp,,
CAUSO,true,verbo transitivo,"""1. Dicho de una causa Producir su efecto provocar provocar suscitar suscitar originar originar ocasionar ocasionar producir producir motivar motivar acarrear acarrear engendrar engendrar incitar incitar determinar determinar infundir infundir hacer hacer obrar obrar dar dar redundar redundar""",5,esp,,
CAUTA,true,adjetivo,"""1. Que obra con sagacidad o precaución precavido precavido cauteloso cauteloso prevenido prevenido prudente prudente previsor previsor circunspecto circunspecto astuto astuto sagaz sagaz hábil hábil incauto incauto""",5,esp,,
CAUTO,true,adjetivo,"""1. Que obra con sagacidad o precaución precavido precavido cauteloso cauteloso prevenido prevenido prudente prudente previsor previsor circunspecto circunspecto astuto astuto sagaz sagaz hábil hábil incauto incauto""",5,esp,,
CAUZA,true,nombre femenino,"""1. Caja de esparto donde se incuba el huevo del gusano de seda""",5,esp,,
CAVAD,true,verbo transitivo,"""1. Levantar y mover la tierra con la azada el azadón u otro instrumento semejante excavar excavar socavar socavar agujerear agujerear perforar perforar horadar horadar remover remover""",5,esp,,
CAVAN,true,verbo transitivo,"""1. Levantar y mover la tierra con la azada el azadón u otro instrumento semejante excavar excavar socavar socavar agujerear agujerear perforar perforar horadar horadar remover remover""",5,esp,,
CAVAR,true,Verbo transitivo,"""Retirar la tierra para hacer un hoyo o una excavación.""",5,esp,,
CAVAS,null,N/A,"""N/A""",5,esp,,
CAVEA,null,N/A,"""N/A""",5,esp,,
CAVEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de cavar.""",5,esp,,
CAVES,null,N/A,"""N/A""",5,esp,,
CAVIA,true,nombre femenino,"""1. Especie de alcorque o excavación""",5,esp,,
CAVIO,null,N/A,"""N/A""",5,esp,,
CAVIS,null,N/A,"""N/A""",5,esp,,
CAVON,null,N/A,"""N/A""",5,esp,,
CAVOS,true,nombre masculino,"""1. Huronera o madriguera""",5,esp,,
CAYAN,null,N/A,"""N/A""",5,esp,,
CAYAS,null,N/A,"""N/A""",5,esp,,
CAYOS,true,nombre masculino,"""1. Cada una de las islas rasas arenosas frecuentemente anegadizas y cubiertas en gran parte de mangle muy comunes en el mar de las y en el golfo mexicano isla isla barra barra banco banco arrecife arrecife escollo escollo""",5,esp,,
CAZAD,true,verbo transitivo,"""1. Buscar o perseguir aves fieras y otras muchas clases de animales para cobrar o matar montear1 montear1 huronear huronear acosar acosar prender prender apresar apresar cautivar cautivar lazar lazar buscar buscar""",5,esp,,
CAZAN,true,verbo transitivo,"""1. Buscar o perseguir aves fieras y otras muchas clases de animales para cobrar o matar montear1 montear1 huronear huronear acosar acosar prender prender apresar apresar cautivar cautivar lazar lazar buscar buscar""",5,esp,,
CAZAR,true,Verbo transitivo,"""Buscar o seguir a las aves, fieras y otros animales para cogerlos y matarlos.""",5,esp,,
CAZAS,null,N/A,"""N/A""",5,esp,,
CAZON,null,N/A,"""N/A""",5,esp,,
CAZOS,true,nombre masculino,"""1. Recipiente de cocina de metal porcelana generalmente más ancho por la boca que por el fondo pero a veces cilíndrico con mango y por lo general un pico para verter cacillo cacillo paila paila perol perol puchero puchero cazuela cazuela""",5,esp,,
CAZUZ,true,nombre masculino,"""1. hiedra hiedra bejuco bejuco enredadera enredadera""",5,esp,,
CEAJA,true,nombre masculino y femenino,"""1. Chivo o cordero que no llega a primal""",5,esp,,
CEAJO,true,nombre masculino y femenino,"""1. Chivo o cordero que no llega a primal""",5,esp,,
CEBAD,true,verbo transitivo,"""1. Dar comida a los animales para aumentar su peso alimentar alimentar engordar engordar sainar1 sainar1 criar criar sobrealimentar sobrealimentar""",5,esp,,
CEBAN,true,verbo transitivo,"""1. Dar comida a los animales para aumentar su peso alimentar alimentar engordar engordar sainar1 sainar1 criar criar sobrealimentar sobrealimentar""",5,esp,,
CEBAR,true,Verbo transitivo,"""Dar o echar cebo a los animales para alimentarlos, engordarlos o atraerlos.""",5,esp,,
CEBAS,null,N/A,"""N/A""",5,esp,,
CEBEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de cebar.""",5,esp,,
CEBES,true,verbo transitivo,"""1. Dar comida a los animales para aumentar su peso alimentar alimentar engordar engordar sainar1 sainar1 criar criar sobrealimentar sobrealimentar""",5,esp,,
CEBIL,true,nombre masculino,"""1. Árbol leguminoso que vive en el Es alto y corpulento su madera se emplea en las construcciones sus hojas las come el ganado en años de escasez y su corteza que contiene mucho tanino es un curtiente enérgico""",5,esp,,
CEBON,null,N/A,"""N/A""",5,esp,,
CEBOS,true,nombre masculino,"""1. Comida que se da a los animales para alimentarlos engordarlos o atraerlos carnada carnada carnaza carnaza""",5,esp,,
CEBRA,true,nombre femenino,"""1. Animal solípedo del austral parecido al asno de pelo blanco amarillento con listas transversales pardas o negras Hay varias especies y alguna del tamaño del caballo""",5,esp,,
CEBRO,true,nombre masculino desusado,"""1. asno salvaje""",5,esp,,
CEBTI,null,N/A,"""N/A""",5,esp,,
CEBUS,null,N/A,"""N/A""",5,esp,,
CECAL,true,adjetivo,"""1. Perteneciente o relativo al intestino ciego""",5,esp,,
CECAS,true,nombre femenino,"""1. Establecimiento oficial donde se fabricaba y acuñaba moneda""",5,esp,,
CECEA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de cecear.""",5,esp,,
CECEE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de cecear.""",5,esp,,
CECEO,true,nombre masculino,"""1. Acción de""",5,esp,,
CEDAN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de ceder.""",5,esp,,
CEDAS,null,N/A,"""N/A""",5,esp,,
CEDED,true,verbo transitivo,"""1. Dar transferir o traspasar a alguien una cosa acción o derecho traspasar traspasar transferir transferir conceder conceder dar dar entregar entregar endosar1 endosar1 adjudicar adjudicar tomar tomar recibir recibir""",5,esp,,
CEDEN,true,verbo transitivo,"""1. Dar transferir o traspasar a alguien una cosa acción o derecho traspasar traspasar transferir transferir conceder conceder dar dar entregar entregar endosar1 endosar1 adjudicar adjudicar tomar tomar recibir recibir""",5,esp,,
CEDER,true,Verbo transitivo,"""Dejar voluntariamente a otros el usufructo, disfrute, uso o derechos sobre algo.""",5,esp,,
CEDES,true,verbo transitivo,"""1. Dar transferir o traspasar a alguien una cosa acción o derecho traspasar traspasar transferir transferir conceder conceder dar dar entregar entregar endosar1 endosar1 adjudicar adjudicar tomar tomar recibir recibir""",5,esp,,
CEDIA,true,Forma verbal,"""Primera persona del singular del pretérito imperfecto de indicativo de ceder.""",5,esp,,
CEDIO,null,N/A,"""N/A""",5,esp,,
CEDRO,true,Sustantivo masculino,"""Género de coníferas pináceas. Son árboles de gran tamaño, de madera olorosa y copa cónica o vertical, muy utilizados para ornamentación de parques. Poseen una distribución disjunta: Norte de África, Medio Oriente y el Himalaya.""",5,esp,,
CEFEA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de cefear.""",5,esp,,
CEFEE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de cefear.""",5,esp,,
CEFEO,null,N/A,"""N/A""",5,esp,,
CEFOS,true,nombre masculino,"""1. Mamífero cuadrumano originario de de unos de largo sin contar la cola y con el cuerpo rojo menos la nariz que es blanca celfo celfo cebo2 cebo2 cepo2 cepo2""",5,esp,,
CEGAD,true,verbo transitivo,"""1. Quitar la vista a alguien enceguecer enceguecer""",5,esp,,
CEGAR,true,verbo transitivo,"""1. Quitar la vista a alguien enceguecer enceguecer""",5,esp,,
CEGAS,null,N/A,"""N/A""",5,esp,,
CEGUA,true,nombre femenino,"""1. y ciguanaba ciguanaba cigua cigua siguanaba siguanaba siguabana siguabana siguamonta siguamonta""",5,esp,,
CEGUE,null,N/A,"""N/A""",5,esp,,
CEIBA,true,nombre femenino,"""1. Árbol americano bombacáceo de a de altura de tronco grueso ramas rojizas flores rojas tintóreas y frutos de a de longitud que contienen seis semillas envueltas en una especie de algodón yaxché yaxché""",5,esp,,
CEIBO,true,nombre masculino,"""1. Árbol americano de la familia de las papilionáceas notable por sus flores de cinco pétalos rojas y brillantes que nacen antes que las hojas que son lanceoladas verdes por la cara superior y gríseas por el envés Su fruto de unos quince centímetros de largo es peludo y con semillas ovoides Tiene diferentes nombres según la región en que se cría""",5,esp,,
CEJAD,true,verbo intransitivo,"""1. Retroceder ir hacia atrás retroceder retroceder recular recular ciar ciar replegarse replegarse avanzar avanzar""",5,esp,,
CEJAN,true,verbo intransitivo,"""1. Retroceder ir hacia atrás retroceder retroceder recular recular ciar ciar replegarse replegarse avanzar avanzar""",5,esp,,
CEJAR,true,Verbo intransitivo,"""Retroceder las bestias que tiran de un carruaje""",5,esp,,
CEJAS,null,N/A,"""N/A""",5,esp,,
CEJEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de cejar.""",5,esp,,
CEJES,null,N/A,"""N/A""",5,esp,,
CEJOS,true,nombre masculino,"""1. Niebla que suele levantarse sobre los ríos y arroyos después de salir el sol niebla niebla""",5,esp,,
CELAD,true,verbo transitivo,"""1. Procurar con particular cuidado el cumplimiento y observancia de las leyes estatutos u otras obligaciones o encargos cuidar cuidar velar1 velar1 vigilar vigilar controlar controlar descuidar descuidar""",5,esp,,
CELAN,true,verbo transitivo,"""1. Procurar con particular cuidado el cumplimiento y observancia de las leyes estatutos u otras obligaciones o encargos cuidar cuidar velar1 velar1 vigilar vigilar controlar controlar descuidar descuidar""",5,esp,,
CELAR,true,verbo transitivo,"""1. Procurar con particular cuidado el cumplimiento y observancia de las leyes estatutos u otras obligaciones o encargos cuidar cuidar velar1 velar1 vigilar vigilar controlar controlar descuidar descuidar""",5,esp,,
CELAS,null,N/A,"""N/A""",5,esp,,
CELDA,true,Sustantivo femenino,"""Habitación en la que se recluye a los presos.""",5,esp,,
CELEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de celar.""",5,esp,,
CELES,null,N/A,"""N/A""",5,esp,,
CELFO,true,nombre masculino,"""1. cefo cefo cebo2 cebo2 cepo2 cepo2""",5,esp,,
CELIA,true,nombre femenino,"""1. Bebida de los antiguos habitantes de la península ibérica que se hacía de trigo echado en infusión al modo de la cerveza o de la""",5,esp,,
CELLA,true,nombre femenino,"""1. Espacio interior de forma rectangular que constituía el núcleo de la construcción en los templos griegos y romanos y comunicaba por uno de sus lados con el pronaos o pórtico""",5,esp,,
CELLO,true,nombre masculino,"""1. Aro con que se sujetan las duelas de las cubas comportas pipotes""",5,esp,,
CELOS,true,Sustantivo masculino,"""Recelo de que la persona amada haya mudado o mude su cariño.""",5,esp,,
CELTA,true,Adjetivo,"""Que pertenece o concierne a un conjunto de pueblos indoeuropeos que habitaron diversas zonas de Europa y el Asia Menor (Anatolia) en eras prerromanas (desde aproximadamente el siglo XI a. C.).""",5,esp,,
CEMAS,true,nombre femenino,"""1. Pan de acemite""",5,esp,,
CEMBO,true,nombre masculino,"""1. Cada uno de los caballones que hay a los bordes de un río arroyo canal o acequia así como los de los senderos y caminos""",5,esp,,
CENAD,true,nombre masculino desusado,"""1.""",5,esp,,
CENAL,true,nombre masculino,"""1. Aparejo que llevan los faluchos y sirve para cargar la vela por alto""",5,esp,,
CENAN,true,nombre masculino desusado,"""1.""",5,esp,,
CENAR,true,nombre masculino desusado,"""1.""",5,esp,,
CENAS,null,N/A,"""N/A""",5,esp,,
CENCA,null,N/A,"""N/A""",5,esp,,
CENCO,true,nombre masculino,"""1. Reptil del orden de los ofidios que vive en""",5,esp,,
CENEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de cenar.""",5,esp,,
CENES,true,nombre masculino desusado,"""1.""",5,esp,,
CENIA,true,nombre femenino,"""1. Azud o máquina simple para elevar el agua y regar terrenos muy usada al norte de la provincia de""",5,esp,,
CENIS,null,N/A,"""N/A""",5,esp,,
CENIT,true,Sustantivo masculino,"""Astronomía: Punto más alto que alcanza un astro en la circunferencia aparente que describe alrededor de la posición de un observador en la superficie.""",5,esp,,
CENSA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de censar.""",5,esp,,
CENSE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de censar.""",5,esp,,
CENSO,true,Sustantivo masculino,"""Lista de los ciudadanos de una población o país""",5,esp,,
CENTS,true,nombre masculino,"""1. Moneda que vale la centésima parte de un euro céntimo céntimo centésimo centésimo centavo centavo chavo1 chavo1 fierro fierro""",5,esp,,
CEÑAD,null,N/A,"""N/A""",5,esp,,
CEÑAN,null,N/A,"""N/A""",5,esp,,
CEÑAR,true,verbo transitivo,"""1. Guiñar hacer señas""",5,esp,,
CEÑAS,true,nombre femenino,"""1. máquina para subir agua noria noria aguaducho aguaducho cenia cenia arte arte""",5,esp,,
CEÑEN,null,N/A,"""N/A""",5,esp,,
CEÑES,null,N/A,"""N/A""",5,esp,,
CEÑIA,null,N/A,"""N/A""",5,esp,,
CEÑID,true,verbo transitivo,"""1. Rodear ajustar o apretar la cintura el cuerpo el vestido u otra cosa rodear rodear abarcar abarcar abrazar abrazar envolver envolver ajustar ajustar apretar apretar estrechar estrechar comprimir comprimir oprimir oprimir amarrar amarrar desceñir desceñir aflojar aflojar""",5,esp,,
CEÑIR,true,verbo transitivo,"""1. Rodear ajustar o apretar la cintura el cuerpo el vestido u otra cosa rodear rodear abarcar abarcar abrazar abrazar envolver envolver ajustar ajustar apretar apretar estrechar estrechar comprimir comprimir oprimir oprimir amarrar amarrar desceñir desceñir aflojar aflojar""",5,esp,,
CEÑIS,null,N/A,"""N/A""",5,esp,,
CEÑOS,true,nombre masculino,"""1. Cerco o aro que ciñe algo""",5,esp,,
CEPAS,true,nombre femenino,"""1. Parte del tronco de cualquier árbol o planta que está dentro de tierra y unida a las raíces""",5,esp,,
CEPOS,true,nombre masculino,"""1. Instrumento hecho de dos maderos gruesos que unidos forman en el medio unos agujeros redondos en los cuales se aseguraba la garganta o la pierna del reo juntando los maderos""",5,esp,,
CEPTI,null,N/A,"""N/A""",5,esp,,
CEQUI,null,N/A,"""N/A""",5,esp,,
CERAS,true,nombre femenino,"""1. Sustancia sólida blanda amarillenta y fundible que segregan las abejas para formar las celdillas de los panales y que se emplea principalmente para hacer velas También la fabrican algunos otros insectos esperma esperma""",5,esp,,
CERCA,true,nombre femenino,"""1. Vallado tapia o muro que se pone alrededor de algún sitio heredad o casa para su resguardo o división cerco cerco cercado cercado vallado vallado valla valla valladar valladar cerrado cerrado empalizada empalizada estacada estacada seto seto tapia tapia""",5,esp,,
CERCO,true,Sustantivo masculino,"""Acción o efecto de cercar.""",5,esp,,
CERDA,true,Sustantivo femenino,"""Mamíferos: Cerdo hembra""",5,esp,,
CERDO,true,Sustantivo masculino,"""Mamíferos: (Sus scrofa domesticus) Animal mamífero, artiodáctilo, de cuerpo robusto y piel gruesa, domesticado desde la Antigüedad para aprovechar su carne y su cuero. Es una variedad de la misma especie que en su forma salvaje se conoce como jabalí.""",5,esp,,
CEREA,null,N/A,"""N/A""",5,esp,,
CEREO,null,N/A,"""N/A""",5,esp,,
CERIO,true,nombre masculino,"""1. Elemento químico metálico de del grupo de los lantánidos de color pardo rojizo muy escaso en la corteza terrestre donde aparece disperso en diversos minerales y algunos de cuyos derivados se usan en pirotecnia y como materiales cerámicos""",5,esp,,
CERNA,true,nombre femenino,"""1. cerne cerne cerno cerno carne1 carne1""",5,esp,,
CERNE,true,adjetivo,"""1. Dicho especialmente de la madera Sólida y fuerte""",5,esp,,
CERNI,true,Forma verbal,"""Primera persona del singular del pretérito perfecto simple de indicativo de cerner.""",5,esp,,
CERNO,true,nombre masculino,"""1. Corazón de algunas maderas duras como el roble""",5,esp,,
CERON,null,N/A,"""N/A""",5,esp,,
CEROS,true,nombre masculino,"""1. Número que expresa la falta absoluta de cantidad o un valor nulo Cualquiernúmeromultiplicadoporceroescero. Cualquier número multiplicado por cero es cero""",5,esp,,
CERPA,true,nombre femenino,"""1. Cantidad de lana que una persona puede coger con los dedos""",5,esp,,
CERRA,true,nombre femenino,"""1. parte del cuerpo humano""",5,esp,,
CERRE,null,N/A,"""N/A""",5,esp,,
CERRO,true,nombre masculino,"""1. Elevación de tierra aislada y de menor altura que el monte o la montaña colina1 colina1 loma loma montículo montículo otero otero alcor alcor altozano altozano collado collado cuesto cuesto""",5,esp,,
CESAD,true,verbo intransitivo,"""1. Dicho de una cosa Interrumpirse o acabarse Lalluvianocesóhastalanoche. La lluvia no cesó hasta la noche acabar acabar finalizar finalizar concluir concluir interrumpir interrumpir suspender suspender cejar cejar terminar terminar expirar expirar pasar pasar ceder ceder empezar empezar continuar continuar""",5,esp,,
CESAN,true,verbo intransitivo,"""1. Dicho de una cosa Interrumpirse o acabarse Lalluvianocesóhastalanoche. La lluvia no cesó hasta la noche acabar acabar finalizar finalizar concluir concluir interrumpir interrumpir suspender suspender cejar cejar terminar terminar expirar expirar pasar pasar ceder ceder empezar empezar continuar continuar""",5,esp,,
CESAR,true,Sustantivo masculino,"""Título otorgado a los emperadores de la antigua Roma.""",5,esp,,
CESAS,true,verbo intransitivo,"""1. Dicho de una cosa Interrumpirse o acabarse Lalluvianocesóhastalanoche. La lluvia no cesó hasta la noche acabar acabar finalizar finalizar concluir concluir interrumpir interrumpir suspender suspender cejar cejar terminar terminar expirar expirar pasar pasar ceder ceder empezar empezar continuar continuar""",5,esp,,
CESEN,true,Forma verbal,"""Tercera persona del plural del presente de subjuntivo de cesar.""",5,esp,,
CESES,null,N/A,"""N/A""",5,esp,,
CESIO,true,nombre masculino,"""1. Elemento químico metálico alcalino de de color plateado dúctil y blando escaso en la corteza terrestre que reacciona violentamente con el agua se encuentra en las cenizas de algunas plantas y en aguas minerales y se usa en la fabricación de células fotoeléctricas""",5,esp,,
CESTA,true,Sustantivo femenino,"""Recipiente tejido de mimbre, esparto o material similar""",5,esp,,
CESTO,true,Sustantivo masculino,"""Recipiente tejido con mimbres, varillas u otros derivados de la madera, o hecho con materiales sintéticos, en especial cuando es más alto que ancho, y de mayor tamaño que una cesta normal.""",5,esp,,
CETIL,true,nombre masculino,"""1. Moneda portuguesa corriente en en el siglo XVI, y cuyo valor era la tercera parte de una blanca""",5,esp,,
CETIS,null,N/A,"""N/A""",5,esp,,
CETME,true,nombre masculino,"""1. Fusil que puede disparar indistintamente balas aisladas o ráfagas""",5,esp,,
CETRA,true,nombre femenino,"""1. Escudo de cuero que usaron en la Antigüedad los hispanos en lugar de adarga o de broquel""",5,esp,,
CETRE,true,nombre masculino,"""1. Sacristán segundo o acólito que lleva el acetre""",5,esp,,
CETRO,true,Sustantivo masculino,"""Bastón o vara enjoyada que se emplea como símbolo de ciertos cargos civiles y religiosos, especialmente soberanos""",5,esp,,
CEUTI,null,N/A,"""N/A""",5,esp,,
CHACA,null,N/A,"""N/A""",5,esp,,
CHACE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de chazar.""",5,esp,,
CHACO,true,Sustantivo propio,"""es una provincia de la Argentina, su gentilico es chaqueño.""",5,esp,,
CHAFA,true,Adjetivo,"""De mala calidad.""",5,esp,,
CHAFE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de chafar.""",5,esp,,
CHAFO,true,verbo transitivo,"""1. Aplastar lo que está erguido o lo que es blando o frágil como la hierba el pelo de ciertos tejidos las uvas los huevos aplastar aplastar apretar apretar espachurrar espachurrar apretujar apretujar estrujar estrujar""",5,esp,,
CHAIS,true,nombre femenino,"""1. Niña o joven joven joven muchacha muchacha niña niña""",5,esp,,
CHAJA,null,N/A,"""N/A""",5,esp,,
CHALA,true,Sustantivo femenino,"""Hoja alargada y firme que cubre la mazorca del maíz, usada tradicionalmente como relleno de jergones y como envoltorio de cigarros y preparados culinarios""",5,esp,,
CHALE,true,nombre masculino y femenino,"""1. Persona residente en originaria de descendiente de chinos o con rasgos orientales""",5,esp,,
CHALO,true,verbo transitivo,"""1. Enloquecer o alelar a alguien enloquecer enloquecer trastornar trastornar alelar alelar""",5,esp,,
CHAMA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de chamar.""",5,esp,,
CHAME,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de chamar.""",5,esp,,
CHAMO,true,nombre masculino y femenino,"""1. Niño o adolescente niño niño crío crío criatura criatura muchacho muchacho chico chico nene nene carajito carajito chipilín chipilín pichurro pichurro""",5,esp,,
CHANA,true,Sustantivo masculino,"""Persona originaria del pueblo chaná.""",5,esp,,
CHANE,true,nombre masculino,"""1. Persona que por conocer bien una región sirve de guía""",5,esp,,
CHANO,true,locución adverbial coloquial,"""1. Lentamente paso a paso""",5,esp,,
CHAPA,true,Sustantivo femenino,"""Lámina de madera, metal u otro material duro.""",5,esp,,
CHAPE,true,Sustantivo masculino,"""Cabello trenzado, trenza.""",5,esp,,
CHAPO,true,nombre masculino y femenino,"""1. Persona de baja estatura retaco retaco petiso petiso petizo petizo""",5,esp,,
CHATA,true,adjetivo,"""1. Dicho de una nariz Poco prominente y como aplastada achatado achatado aplastado aplastado romo romo ñato ñato prominente prominente""",5,esp,,
CHATO,true,Adjetivo,"""Que tiene la nariz plana, aplastada, no prominente.""",5,esp,,
CHAUL,null,N/A,"""N/A""",5,esp,,
CHAUZ,true,nombre masculino,"""1. Entre los árabes portero de estrados alguacil o ministro del juez""",5,esp,,
CHAVA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de chavar.""",5,esp,,
CHAVE,true,verbo transitivo,"""1. Molestar o fastidiar a alguien""",5,esp,,
CHAVO,true,Sustantivo masculino,"""Monedas, Historia: Antigua moneda española que equivalía a dos maravedís, y cuyo peso era un octavo de onza.""",5,esp,,
CHAYA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de chayar.""",5,esp,,
CHAYE,true,Forma verbal,"""Primera persona del singular del presente de subjuntivo de chayar.""",5,esp,,
CHAYO,true,verbo intransitivo,"""1. Jugar a mojarse unas personas a otras durante el carnaval""",5,esp,,
CHAZA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de chazar.""",5,esp,,
CHAZO,true,nombre masculino,"""1. Pedazo remiendo""",5,esp,,
CHECA,true,Forma verbal,"""Tercera persona del singular del presente de indicativo de checar.""",5,esp,,
CHECO,true,Adjetivo,"""Persona que es originaria de la República Checa.""",5,esp,,
CHEFS,true,nombre masculino y femenino,"""1. Jefe de cocina en especial de un restaurante cocinero cocinero""",5,esp,,
CHEJE,true,nombre masculino,"""1. y carpintero carpintero picapinos picapinos picamaderos picamaderos pito2 pito2 cerequeque cerequeque checo2 checo2""",5,esp,,
CHELA,true,Sustantivo propio,"""Hipocorístico de Marcela.""",5,esp,,
CHELE,true,Adjetivo,"""Dicho de una persona o animal, de tez clara y cabello muy rubio o albino""",5,esp,,
CHELI,true,nombre masculino,"""1. Jerga con elementos castizos marginales y contraculturales""",5,esp,,
CHELO,true,nombre masculino,"""1. violonchelo violonchelo violoncelo violoncelo""",5,esp,,
CHEPA,true,Sustantivo femenino,"""Anatomía: Curvatura anormal de la espalda, joroba, corcova, giba.""",5,esp,,
CHEPE,true,nombre masculino,"""1. apunte para copiar en los exámenes chuleta1 chuleta1 acordeón acordeón chivo2 chivo2 machete machete comprimido comprimido ferrocarril ferrocarril trencito trencito forro forro polla polla""",5,esp,,
CHEPO,true,nombre masculino,"""1. parte del cuerpo humano""",5,esp,,
CHERA,true,nombre masculino y femenino,"""1. y Amigo compañero camarada""",5,esp,,
